id,temperature_celsius,is_active
1,31.63,false
2,36.49,false
3,-9.00,false
4,28.43,false
5,44.86,true
6,-2.70,false
7,28.07,true
8,19.44,false
9,40.41,true
10,46.28,true
11,6.76,true
12,44.92,true
13,24.08,false
14,29.50,true
15,3.67,false
16,26.63,false
17,8.22,true
18,45.94,true
19,0.25,true
20,19.73,false
21,10.77,true
22,22.55,true
23,34.81,false
24,41.74,false
25,34.51,false
26,-7.69,false
27,27.82,true
28,-9.32,true
29,27.52,false
30,7.10,false
31,7.35,false
32,44.34,true
33,-7.76,true
34,47.76,false
35,18.58,false
36,33.55,true
37,6.63,true
38,30.62,true
39,38.36,false
40,2.92,true
41,-3.46,false
42,10.42,false
43,-6.01,false
44,-1.93,true
45,30.26,false
46,3.92,false
47,10.75,true
48,15.43,true
49,-1.81,true
50,11.29,false
51,25.04,false
52,14.39,false
53,28.25,true
54,8.08,false
55,-8.10,false
56,44.06,true
57,41.23,false
58,33.29,false
59,12.30,true
60,-7.27,false
61,45.27,false
62,11.11,true
63,49.07,true
64,-7.33,false
65,28.02,true
66,33.25,true
67,1.51,false
68,40.26,true
69,36.14,true
70,23.40,true
71,-3.68,true
72,1.01,true
73,39.08,false
74,30.85,true
75,-9.90,true
76,38.56,true
77,49.82,true
78,11.63,false
79,10.65,true
80,42.95,true
81,29.65,true
82,42.19,true
83,42.77,false
84,6.81,false
85,10.69,true
86,12.21,true
87,10.83,false
88,47.83,false
89,1.58,true
90,28.84,true
91,21.94,false
92,-4.17,true
93,35.96,false
94,-8.42,false
95,3.61,true
96,42.08,false
97,-6.66,false
98,35.63,true
99,33.23,true
100,19.43,true
101,17.65,false
102,36.07,true
103,42.98,true
104,7.38,true
105,-4.27,false
106,18.40,true
107,17.43,true
108,12.46,true
109,17.98,false
110,-4.18,true
111,30.50,true
112,0.15,true
113,34.83,false
114,39.61,true
115,39.99,true
116,15.75,true
117,19.86,true
118,18.27,true
119,39.43,false
120,5.51,false
121,-2.77,false
122,14.85,true
123,23.93,true
124,24.84,false
125,45.74,true
126,-0.69,false
127,17.36,false
128,19.59,false
129,32.27,false
130,-6.05,false
131,23.18,false
132,35.28,false
133,28.26,false
134,-6.15,true
135,20.75,false
136,20.24,false
137,5.22,true
138,43.69,false
139,43.41,true
140,-4.26,true
141,23.23,false
142,15.37,false
143,11.83,true
144,37.68,true
145,2.02,false
146,25.60,true
147,-2.62,true
148,4.57,false
149,45.79,false
150,0.54,false
151,26.00,true
152,14.80,false
153,44.39,false
154,45.20,true
155,-6.85,true
156,18.26,true
157,34.93,true
158,-7.13,false
159,40.25,true
160,40.74,false
161,18.74,true
162,35.31,true
163,39.61,false
164,-2.78,false
165,5.91,false
166,25.46,false
167,21.70,true
168,6.75,true
169,-1.15,true
170,47.42,true
171,40.47,false
172,-9.54,true
173,19.70,true
174,15.28,false
175,9.12,true
176,43.88,false
177,5.76,false
178,13.75,false
179,35.24,true
180,-3.29,true
181,39.20,true
182,-1.96,true
183,37.88,true
184,-0.34,false
185,39.40,false
186,-4.70,false
187,30.49,true
188,-0.32,false
189,32.33,true
190,4.59,true
191,17.80,false
192,7.08,true
193,-1.97,false
194,9.96,true
195,49.73,false
196,39.81,true
197,39.55,false
198,24.50,true
199,18.07,true
200,0.65,false
201,20.50,false
202,24.03,false
203,25.17,false
204,25.90,true
205,44.91,true
206,35.77,false
207,24.24,false
208,-6.05,false
209,25.94,false
210,27.04,false
211,8.41,true
212,19.99,false
213,18.79,true
214,11.46,false
215,-9.49,true
216,10.47,false
217,41.67,false
218,37.03,true
219,11.71,true
220,33.56,false
221,43.14,true
222,16.42,false
223,9.62,false
224,43.43,true
225,16.20,false
226,-6.02,false
227,0.71,true
228,18.97,true
229,28.37,false
230,5.38,true
231,10.55,true
232,5.76,false
233,-1.75,true
234,13.54,true
235,-9.78,true
236,-5.42,true
237,40.55,false
238,28.26,true
239,44.34,false
240,46.82,true
241,-4.41,false
242,28.07,false
243,37.67,false
244,22.87,false
245,24.40,false
246,28.99,true
247,43.81,false
248,26.22,true
249,30.73,false
250,8.19,true
251,45.00,false
252,-1.37,true
253,36.39,true
254,-7.87,true
255,0.65,false
256,13.12,true
257,4.21,true
258,21.08,false
259,16.32,true
260,-3.60,false
261,-5.41,true
262,16.19,true
263,47.05,true
264,29.79,true
265,10.80,false
266,42.29,false
267,5.37,true
268,39.02,false
269,15.24,false
270,16.19,false
271,2.31,false
272,33.05,false
273,40.99,true
274,35.84,true
275,-6.27,true
276,39.00,true
277,35.74,false
278,17.66,false
279,40.04,false
280,21.23,true
281,-4.79,false
282,22.91,true
283,17.17,false
284,38.48,false
285,-5.62,false
286,-2.04,false
287,41.66,true
288,30.58,true
289,35.12,false
290,-3.42,true
291,-4.27,true
292,28.42,false
293,36.50,true
294,4.49,true
295,-5.31,true
296,49.20,true
297,27.72,false
298,23.16,false
299,42.60,false
300,26.85,true
301,31.89,false
302,19.27,false
303,-3.39,true
304,34.97,true
305,2.57,true
306,27.08,false
307,1.78,true
308,-2.53,false
309,-3.84,false
310,16.86,true
311,16.97,false
312,27.30,true
313,46.16,true
314,2.30,true
315,23.41,false
316,7.93,false
317,16.60,true
318,21.95,true
319,16.96,false
320,10.53,true
321,21.70,true
322,39.94,true
323,43.68,true
324,43.89,true
325,28.21,false
326,37.58,true
327,9.81,true
328,30.61,true
329,4.69,false
330,9.72,false
331,-7.60,true
332,15.52,false
333,18.10,false
334,47.52,false
335,-3.49,false
336,-8.50,false
337,4.34,false
338,13.91,false
339,39.33,false
340,31.82,false
341,0.70,true
342,4.03,true
343,7.47,false
344,27.39,true
345,48.62,true
346,48.73,true
347,21.30,false
348,38.18,true
349,27.97,true
350,23.46,false
351,40.09,false
352,22.69,false
353,6.42,false
354,5.14,false
355,45.84,false
356,45.70,true
357,37.90,true
358,42.79,false
359,-3.62,true
360,5.01,true
361,8.67,false
362,38.48,true
363,5.99,true
364,1.22,false
365,29.70,true
366,20.89,false
367,41.51,false
368,-5.26,true
369,44.44,false
370,21.07,true
371,-3.12,true
